

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",2,"Total population with access to safe drinking-water (JMP)",4114,2015,55.3,"E","",""
"Afghanistan",2,"Rural population with access to safe drinking-water (JMP)",4115,2015,47.0,"E","",""
"Afghanistan",2,"Urban population with access to safe drinking-water (JMP)",4116,2015,78.2,"E","",""
"Albania",3,"Total population with access to safe drinking-water (JMP)",4114,2015,95.1,"E","",""
"Albania",3,"Rural population with access to safe drinking-water (JMP)",4115,2015,95.2,"E","",""
"Albania",3,"Urban population with access to safe drinking-water (JMP)",4116,2015,94.9,"E","",""
"Algeria",4,"Total population with access to safe drinking-water (JMP)",4114,2015,83.6,"E","",""
"Algeria",4,"Rural population with access to safe drinking-water (JMP)",4115,2015,81.8,"E","",""
"Algeria",4,"Urban population with access to safe drinking-water (JMP)",4116,2015,84.3,"E","",""
"Andorra",6,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Andorra",6,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Andorra",6,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Angola",7,"Total population with access to safe drinking-water (JMP)",4114,2015,49.0,"E","",""
"Angola",7,"Rural population with access to safe drinking-water (JMP)",4115,2015,28.2,"E","",""
"Angola",7,"Urban population with access to safe drinking-water (JMP)",4116,2015,75.4,"E","",""
"Antigua and Barbuda",8,"Total population with access to safe drinking-water (JMP)",4114,2015,97.9,"E","",""
"Antigua and Barbuda",8,"Rural population with access to safe drinking-water (JMP)",4115,2015,97.9,"E","",""
"Antigua and Barbuda",8,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.9,"E","",""
"Argentina",9,"Total population with access to safe drinking-water (JMP)",4114,2015,99.1,"E","",""
"Argentina",9,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Argentina",9,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.0,"E","",""
"Armenia",1,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Armenia",1,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Armenia",1,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Australia",10,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Australia",10,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Australia",10,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Austria",11,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Austria",11,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Austria",11,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Azerbaijan",52,"Total population with access to safe drinking-water (JMP)",4114,2015,87.0,"E","",""
"Azerbaijan",52,"Rural population with access to safe drinking-water (JMP)",4115,2015,77.8,"E","",""
"Azerbaijan",52,"Urban population with access to safe drinking-water (JMP)",4116,2015,94.7,"E","",""
"Bahamas",12,"Total population with access to safe drinking-water (JMP)",4114,2015,98.4,"E","",""
"Bahamas",12,"Rural population with access to safe drinking-water (JMP)",4115,2015,98.4,"E","",""
"Bahamas",12,"Urban population with access to safe drinking-water (JMP)",4116,2015,98.4,"E","",""
"Bahrain",13,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Bahrain",13,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Bahrain",13,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Bangladesh",16,"Total population with access to safe drinking-water (JMP)",4114,2015,86.9,"E","",""
"Bangladesh",16,"Rural population with access to safe drinking-water (JMP)",4115,2015,87.0,"E","",""
"Bangladesh",16,"Urban population with access to safe drinking-water (JMP)",4116,2015,86.5,"E","",""
"Barbados",14,"Total population with access to safe drinking-water (JMP)",4114,2015,99.7,"E","",""
"Barbados",14,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.7,"E","",""
"Barbados",14,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.7,"E","",""
"Belarus",57,"Total population with access to safe drinking-water (JMP)",4114,2015,99.7,"E","",""
"Belarus",57,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.1,"E","",""
"Belarus",57,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.9,"E","",""
"Belgium",255,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Belgium",255,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Belgium",255,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Belize",23,"Total population with access to safe drinking-water (JMP)",4114,2015,99.5,"E","",""
"Belize",23,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Belize",23,"Urban population with access to safe drinking-water (JMP)",4116,2015,98.9,"E","",""
"Benin",53,"Total population with access to safe drinking-water (JMP)",4114,2015,77.9,"E","",""
"Benin",53,"Rural population with access to safe drinking-water (JMP)",4115,2015,72.1,"E","",""
"Benin",53,"Urban population with access to safe drinking-water (JMP)",4116,2015,85.2,"E","",""
"Bhutan",18,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Bhutan",18,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Bhutan",18,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Bolivia (Plurinational State of)",19,"Total population with access to safe drinking-water (JMP)",4114,2015,90.0,"E","",""
"Bolivia (Plurinational State of)",19,"Rural population with access to safe drinking-water (JMP)",4115,2015,75.6,"E","",""
